CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"1020","3",Brooklyn,"102000","3102000",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102000","4318",5294.22317640000,1690995.00912000006,Brooklyn,"36047102000","2186",1400000US36047102000,"Census Tract 1020, Kings County, New York","90202400","19290357"
"1022","3",Brooklyn,"102200","3102200",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102200","4318",5377.81689445000,1752586.49300000002,Brooklyn,"36047102200","2313",1400000US36047102200,"Census Tract 1022, Kings County, New York","71910900","14493657"
"1024","3",Brooklyn,"102400","3102400",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102400","4318",5452.82505807000,1540219.30835999991,Brooklyn,"36047102400","2257",1400000US36047102400,"Census Tract 1024, Kings County, New York","66916500","12145125"
"1028.01","3",Brooklyn,"102801","3102801",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047102801","4318",5967.36102491000,1660819.64831000008,Brooklyn,"36047102801","1754",1400000US36047102801,"Census Tract 1028.01, Kings County, New York","60033800","13528233"
"1034.01","3",Brooklyn,"103401","3103401",,Canarsie,BK1803,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047103401","4318",5475.37872410000,1895802.64855999989,Brooklyn,"36047103401","3980",1400000US36047103401,"Census Tract 1034.01, Kings County, New York","49483200","11017633"
"1034.02","3",Brooklyn,"103402","3103402",,Canarsie Park & Pier,BK1893,BK18,BK18 Canarsie-Flatlands (CD 18 Approximation),"36047103402","4318",11965.95125220000,4320501.52355000004,Brooklyn,"36047103402","0",1400000US36047103402,"Census Tract 1034.02, Kings County, New York",,
"1058.01","3",Brooklyn,"105801","3105801",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047105801","4305",10574.74026450000,4481506.73324999958,Brooklyn,"36047105801","7013",1400000US36047105801,"Census Tract 1058.01, Kings County, New York","123964300","22724228"
"1070.03","3",Brooklyn,"107003","3107003",,Spring Creek-Starrett City,BK0504,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107003","4305",9311.69639769000,2363049.49500000011,Brooklyn,"36047107003","0",1400000US36047107003,"Census Tract 1070.03, Kings County, New York",,
"1078","3",Brooklyn,"107800","3107800",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047107800","4305",13423.77190010000,5449475.79045999981,Brooklyn,"36047107800","4112",1400000US36047107800,"Census Tract 1078, Kings County, New York","149202400","22845712"
"1104","3",Brooklyn,"110400","3110400",,East New York-New Lots,BK0503,BK05,BK05 East New York-Cypress Hills (CD 5 Approximation),"36047110400","4305",14964.72642190000,7985790.25492000021,Brooklyn,"36047110400","5068",1400000US36047110400,"Census Tract 1104, Kings County, New York","95129800","14613715"
