geoid,ctname,agg_income,agg_income_m
1400000US36005032300,"Census Tract 323, Bronx County, New York",304416200,67922161
1400000US36005032400,"Census Tract 324, Bronx County, New York",60395300,25461849
1400000US36005032600,"Census Tract 326, Bronx County, New York",114895900,25012816
1400000US36005032800,"Census Tract 328, Bronx County, New York",85209700,16955095
1400000US36005033000,"Census Tract 330, Bronx County, New York",101449800,15096641
1400000US36005033201,"Census Tract 332.01, Bronx County, New York",146254000,28517698
1400000US36005033202,"Census Tract 332.02, Bronx County, New York",103287800,24032077
1400000US36005033400,"Census Tract 334, Bronx County, New York",null,null
1400000US36005033500,"Census Tract 335, Bronx County, New York",113443700,28108909
1400000US36005033601,"Census Tract 336.01, Bronx County, New York",94540400,28439506
1400000US36005033602,"Census Tract 336.02, Bronx County, New York",33376900,7847272
1400000US36005033700,"Census Tract 337, Bronx County, New York",160178400,44215476
1400000US36005033801,"Census Tract 338.01, Bronx County, New York",71836300,22644519
1400000US36005033802,"Census Tract 338.02, Bronx County, New York",34386300,8057724
1400000US36005034000,"Census Tract 340, Bronx County, New York",125239000,25625642
1400000US36005034200,"Census Tract 342, Bronx County, New York",55672400,13818061
1400000US36005034300,"Census Tract 343, Bronx County, New York",71866800,16365742
1400000US36005034400,"Census Tract 344, Bronx County, New York",58489000,9724738
1400000US36005034500,"Census Tract 345, Bronx County, New York",164475200,30643335
1400000US36005034800,"Census Tract 348, Bronx County, New York",131262300,31359537
1400000US36005035000,"Census Tract 350, Bronx County, New York",66336300,12237476
1400000US36005035100,"Census Tract 351, Bronx County, New York",164444600,28112078
1400000US36005035600,"Census Tract 356, Bronx County, New York",80879800,22393448
1400000US36005035800,"Census Tract 358, Bronx County, New York",270955700,45137674
1400000US36005035900,"Census Tract 359, Bronx County, New York",33216400,5543107
1400000US36005036000,"Census Tract 360, Bronx County, New York",102107300,30141602
1400000US36005036100,"Census Tract 361, Bronx County, New York",73590700,16391601
1400000US36005036300,"Census Tract 363, Bronx County, New York",113371600,28167405
1400000US36005036400,"Census Tract 364, Bronx County, New York",71646600,17806677
1400000US36005036501,"Census Tract 365.01, Bronx County, New York",72024400,14663451
1400000US36005036502,"Census Tract 365.02, Bronx County, New York",38581600,14554604
1400000US36005036700,"Census Tract 367, Bronx County, New York",44266000,16367392
1400000US36005036800,"Census Tract 368, Bronx County, New York",50959500,13206669
1400000US36005036901,"Census Tract 369.01, Bronx County, New York",26043200,5313865
1400000US36005036902,"Census Tract 369.02, Bronx County, New York",29151000,6534644
1400000US36005037000,"Census Tract 370, Bronx County, New York",67794500,18347948
1400000US36005037100,"Census Tract 371, Bronx County, New York",102525400,37059223
1400000US36005037200,"Census Tract 372, Bronx County, New York",57056000,16367344
1400000US36005037300,"Census Tract 373, Bronx County, New York",108618400,26995263
1400000US36005037400,"Census Tract 374, Bronx County, New York",68427600,14980847
1400000US36005037504,"Census Tract 375.04, Bronx County, New York",51497600,13451919
1400000US36005037600,"Census Tract 376, Bronx County, New York",51100100,13769313
1400000US36005037800,"Census Tract 378, Bronx County, New York",66904800,16375498
1400000US36005037900,"Census Tract 379, Bronx County, New York",77877500,16679080
1400000US36005038000,"Census Tract 380, Bronx County, New York",127367200,44227229
1400000US36005038100,"Census Tract 381, Bronx County, New York",133075600,35598138
1400000US36005038200,"Census Tract 382, Bronx County, New York",69975800,18041088
1400000US36005038301,"Census Tract 383.01, Bronx County, New York",100931700,19606032
1400000US36005038303,"Census Tract 383.03, Bronx County, New York",51108700,13220700
1400000US36005038304,"Census Tract 383.04, Bronx County, New York",22097900,6339001
1400000US36005038500,"Census Tract 385, Bronx County, New York",85466300,43591935
1400000US36005038600,"Census Tract 386, Bronx County, New York",204748900,49530056
1400000US36005038700,"Census Tract 387, Bronx County, New York",73381100,27697297
1400000US36005038800,"Census Tract 388, Bronx County, New York",76492200,20527482
1400000US36005038900,"Census Tract 389, Bronx County, New York",75915600,15024995
1400000US36005039000,"Census Tract 390, Bronx County, New York",75948500,23098240
1400000US36005039100,"Census Tract 391, Bronx County, New York",170403000,67596232
1400000US36005039200,"Census Tract 392, Bronx County, New York",53782300,18587593
1400000US36005039300,"Census Tract 393, Bronx County, New York",123672100,26634589
1400000US36005039400,"Census Tract 394, Bronx County, New York",112683100,34564655
