CTLabel,BoroCode,BoroName,CT2020,BoroCT2020,CDEligibil,NTAName,NTA2020,CDTA2020,CDTANAME,GEOID,PUMA,Shape_Leng,Shape_Area,Borough,GeoID_1,pop,geoid_2,ctname,agg_income,agg_inco_1
"34","3",Brooklyn,"003400","3003400",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047003400","4310",11226.51488560000,5196417.40596000012,Brooklyn,"36047003400","3489",1400000US36047003400,"Census Tract 34, Kings County, New York","160924900","21654301"
"38","3",Brooklyn,"003800","3003800",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047003800","4310",5026.86709144000,1367702.87352999998,Brooklyn,"36047003800","1529",1400000US36047003800,"Census Tract 38, Kings County, New York","91257400","17221475"
"41","3",Brooklyn,"004100","3004100",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047004100","4302",5281.90831008000,1743811.53444999992,Brooklyn,"36047004100","3398",1400000US36047004100,"Census Tract 41, Kings County, New York","345988100","78791990"
"43","3",Brooklyn,"004300","3004300",,Downtown Brooklyn-DUMBO-Boerum Hill,BK0202,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),"36047004300","4302",5705.37594669000,1774542.76845000009,Brooklyn,"36047004300","3810",1400000US36047004300,"Census Tract 43, Kings County, New York","403428200","78315217"
"46","3",Brooklyn,"004600","3004600",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047004600","4310",10744.51924950000,3099351.47781000007,Brooklyn,"36047004600","1154",1400000US36047004600,"Census Tract 46, Kings County, New York","88698800","14864873"
"47","3",Brooklyn,"004700","3004700",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047004700","4306",9891.40596037000,2928274.58373000007,Brooklyn,"36047004700","1951",1400000US36047004700,"Census Tract 47, Kings County, New York","144922300","34404255"
"50","3",Brooklyn,"005000","3005000",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047005000","4310",7824.75140603000,2388874.41351999994,Brooklyn,"36047005000","2535",1400000US36047005000,"Census Tract 50, Kings County, New York","147182100","25526273"
"52.01","3",Brooklyn,"005201","3005201",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047005201","4310",5503.96937138000,1451018.35217999993,Brooklyn,"36047005201","1879",1400000US36047005201,"Census Tract 52.01, Kings County, New York","154928100","62152361"
"52.02","3",Brooklyn,"005202","3005202",,Bay Ridge,BK1001,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),"36047005202","4310",5190.71379157000,1398134.52147000004,Brooklyn,"36047005202","2668",1400000US36047005202,"Census Tract 52.02, Kings County, New York","191656200","34960556"
"53.03","3",Brooklyn,"005303","3005303",,Carroll Gardens-Cobble Hill-Gowanus-Red Hook,BK0601,BK06,BK06 Park Slope-Carroll Gardens (CD 6 Approximation),"36047005303","4306",14703.13382550000,3311574.24048000015,Brooklyn,"36047005303","0",1400000US36047005303,"Census Tract 53.03, Kings County, New York",,
